permno,ticker,company_name,date,open_price,high_price,low_price,close_price,close_ratio
21936,,PFIZER CHAS & CO INC,1960-10-01,28.375,30.0,26.5,28.0,0.9739130434782609
22293,,CORNING GLASS WORKS,1960-10-01,161.5,168.0,157.0,167.0,1.0388802488335924
22509,,PITTSBURGH PLATE GLASS CO,1960-10-01,57.0,61.0,56.25,59.125,1.019396551724138
22592,,MINNESOTA MINING & MFG CO,1960-10-01,66.0,67.375,60.0,64.0,0.9770992366412213
22752,,MERCK & CO INC,1960-10-01,80.0,84.0,76.875,77.5,0.9567901234567902
22779,,MOTOROLA INC,1960-10-01,73.375,73.375,60.5,66.5,0.9172413793103448
23026,,OHIO EDISON CO,1960-10-01,34.0,35.625,33.0,33.375,0.967391304347826
23712,,PUBLIC SERVICE ELECTRIC & GAS CO,1960-10-01,39.75,40.875,39.125,40.125,1.0094339622641508
23819,,HALLIBURTON COMPANY,1960-10-01,36.25,41.875,36.25,39.875,1.0850340136054422
23931,,NORTHERN STATES POWER CO MN,1960-10-01,26.125,26.75,25.125,25.625,0.9855769230769231
24010,,MIDDLE SOUTH UTILITIES INC,1960-10-01,29.625,30.125,26.5,27.625,0.9324894514767933
